影片名;导演;主演;影片类型;评分;评分人数;短评数
飞屋环游记 Up;彼特·道格特,鲍勃·彼德森;爱德华·阿斯纳,克里斯托弗·普卢默,乔丹·长井,鲍勃·彼德森,德尔罗伊·林多,杰罗姆·兰福特,约翰·拉岑贝格,大卫·卡耶,艾丽·道克特,杰里米·利里,米凯·麦高万,丹尼·曼恩,唐纳德·富利洛夫,杰斯·哈梅尔,乔什·库雷,彼特·道格特;剧情,喜剧,动画,冒险;9.1;1194725;197622
忠犬八公的故事 Hachi: A Dog's Tale;拉斯·霍尔斯道姆;理查·基尔,萨拉·罗默尔,琼·艾伦,罗比·萨布莱特,艾瑞克·阿瓦利,田川洋行,杰森·亚历山大,罗伯特·卡普荣;剧情;9.4;1277387;283954
夏洛特烦恼;闫非,彭大魔;沈腾,马丽,尹正,艾伦,王智,田雨,宋阳,常远,李萍,李立群,张一鸣,马小茜,赵震,董良瑜,刘坤,黄才伦,陈昊明,陆林洁,王成思,刘金,刘立东,杨欢,宁幻秋,温森,陶柏,许猛,嫣红,刘叶舟,王硕,马驰,周展翅,周华安,顾佳欣,易波,一戈,姜田丰,郭恩强,常世奎,于健,王琦,赵雪,陶亮,黄杨,陆羊,王军,刘子凡,刘笑竹,卢莹,张广洁,方菲菲,许登雨,朱波,肖扬,魏翔,江夏,吴江,张辰,王野,贾悦明,王翡,简姗姗,申琴子,尹星人,桂百惠,管亚鑫,彭泽言,王思浩,关鹏,桂琛,朱磊,徐贤任,田川,李哲;喜剧,爱情;7.8;859443;232017
龙猫 となりのトトロ;宫崎骏;日高法子,坂本千夏,糸井重里,岛本须美,北林谷荣,高木均,雨笠利幸,丸山裕子,广濑正志,鹫尾真知子,铃木玲子,千叶繁,龙田直树,鳕子,西村朋纮,石田光子,神代知衣,中村大树,水谷优子,平松晶子,大谷育江;动画,奇幻,冒险;9.2;1142577;215987
红海行动;林超贤;张译,黄景瑜,海清,杜江,蒋璐霞,尹昉,王强,郭家豪,王雨甜,麦亨利,张涵予,王彦霖;动作,战争;8.3;959196;274049
唐人街探案2;陈思诚;王宝强,刘昊然,肖央,刘承羽,尚语贤,王迅,妻夫木聪,迈克尔·皮特,白灵,元华,曾江,王成思,杨金赐,范湉湉,佟丽娅,陈思诚;喜剧,动作,悬疑;6.6;846351;243982
哈利·波特与密室 Harry Potter and the Chamber of Secrets;克里斯·哥伦布;丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,汤姆·费尔顿,理查德·格雷弗斯,费奥纳·肖,托比·琼斯,朱丽·沃特斯,邦妮·怀特,詹森·艾萨克,肯尼思·布拉纳,艾伦·瑞克曼,理查德·哈里斯,玛吉·史密斯,约翰·克里斯,肖恩·比格斯代夫,克里斯·兰金,克里斯蒂安·库尔森;奇幻,冒险;8.8;640265;65299
头号玩家 Ready Player One;史蒂文·斯皮尔伯格;泰伊·谢里丹,奥利维亚·库克,本·门德尔森,马克·里朗斯,丽娜·维特,森崎温,赵家正,西蒙·佩吉,T·J·米勒,汉娜·乔恩-卡门,拉尔夫·伊内森,苏珊·林奇,克莱尔·希金斯,劳伦斯·斯佩尔曼,佩蒂塔·维克斯,艾萨克·安德鲁斯;动作,科幻,冒险;8.7;1232287;321439
何以为家 كفرناحوم;娜丁·拉巴基;赞恩·阿尔·拉菲亚,约丹诺斯·希费罗,博鲁瓦蒂夫·特雷杰·班科尔,卡萨尔·艾尔·哈达德,法迪·尤瑟夫,海塔·塞德拉·伊扎姆,阿拉·乔什涅,娜丁·拉巴基,埃利亚斯·库利,努尔·艾尔·侯赛尼;剧情;9.1;928243;241647
哈利·波特与阿兹卡班的囚徒 Harry Potter and the Prisoner of Azkaban;阿方索·卡隆;丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,加里·奥德曼,朱丽·沃特斯,邦妮·怀特,大卫·休里斯,迈克尔·刚本,艾伦·瑞克曼,玛吉·史密斯,汤姆·费尔顿,艾玛·汤普森,朱莉·克里斯蒂,蒂莫西·斯波;奇幻,冒险;8.9;614052;69243
触不可及 Intouchables;奥利维埃·纳卡什,埃里克·托莱达诺;弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼,奥德雷·弗勒罗,托马·索利韦尔;剧情,喜剧;9.3;950977;213559
五个扑水的少年;宋灏霖;辛云来,冯祥琨,李孝谦,吴俊霆,王川,辛柏青,代乐乐,衣云鹤,缪纪君,林鹏,王晴,韩秋池,姜永波,李大光,常海波,吴一逊,寇孑,周云枫,刘德昌,汪卓,邵逸凡;喜剧,运动;7.2;126254;52330
放牛班的春天 Les choristes;克里斯托夫·巴拉蒂;热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,弗朗索瓦·贝莱昂,凯德·麦拉德,让-保罗·博奈雷,玛丽·布奈尔,马科森斯·珀林,格雷戈里·加迪诺尔,托马斯·布伦门塔尔,西里尔·伯尔尼科特,西蒙·法戈特,泰奥杜尔·卡雷-卡赛尼,菲利普·杜·詹纳兰德,Carole Weiss,埃里克·德斯玛莱茨,狄迪尔·弗拉蒙,雅克·贝汉;剧情,喜剧,音乐;9.3;1179488;205571
哈利·波特与火焰杯 Harry Potter and the Goblet of Fire;迈克·内威尔;丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,迈克尔·刚本,玛吉·史密斯,汤姆·费尔顿,蒂莫西·斯波,罗伯特·帕丁森,梁佩诗,大卫·田纳特,马克·威廉姆斯,埃里克·赛克斯,詹姆斯·菲尔普斯,奥利弗·菲尔普斯,邦妮·怀特,克蕾曼丝·波西,加里·奥德曼,杰夫·劳勒,詹森·艾萨克,斯坦尼斯拉夫·雅涅夫斯基,罗伯特·哈迪,阿什莉·阿尔图斯,亚历克斯·帕尔墨,罗格·洛伊德-派克,希拉·艾伦,Su Elliot,大卫·斯特恩,玛格里·梅森,马修·刘易斯,罗彼·考特拉尼,威廉姆·麦灵,大卫·布拉德利,戴文·穆雷,艾芙珊·阿扎德,沃维克·戴维斯,弗朗西斯·德·拉·图瓦,谢发丽·裘德胡里,安吉拉珂·曼蒂,艾伦·瑞克曼,普里德拉格·比耶拉克,Tolga Safer,布莱丹·格里森,阿尔弗雷德·伊诺奇,路易·多伊尔,杰米·威莱特,乔什·赫德曼,夏洛特·斯凯奇,米兰达·理查森,罗伯特·威尔福特,Tiana Benjamin,亨利·劳埃德-休斯,贾维斯·考科尔,强尼·格林伍德,菲尔·塞尔维,史蒂夫·麦基,Jason Buckle,Steve Claydon,雪莉·亨德森,拉尔夫·费因斯,阿德里安·劳林斯,杰拉丁·萨莫维尔,拉斯科·阿特金斯,Jack Bagley,葛蕾·贝拉玛西娜,Paul Davies,Barry Dowden,Natalie Hallam;悬疑,奇幻,冒险;8.7;556849;58269
超能陆战队 Big Hero 6;唐·霍尔,克里斯·威廉姆斯;斯科特·安第斯,瑞恩·波特,丹尼尔·海尼,T·J·米勒,郑智麟,小达蒙·韦恩斯,珍尼希斯·罗德里格兹,詹姆斯·克伦威尔,艾伦·图代克,玛娅·鲁道夫,亚布拉哈姆·本鲁比,凯蒂·洛斯,比利·布什,丹尼尔·吉尔森,保罗·布里格斯;喜剧,动作,科幻,动画,冒险;8.7;907111;182245
战狼2;吴京;吴京,弗兰克·格里罗,吴刚,张翰,卢靖姗,丁海峰,淳于珊珊,余男,于谦,石兆琪,海蒂·莫尼梅克,奥列格·亚历山大罗维奇,艾伦·托尼,赛尔·哈里斯,高明,王森,苇青,程愫,张永达,郭秋成,杜建桥,周冠廷,安·詹姆斯,黛安娜·希拉,孙率航,张馨月,关海龙,安妮塔·斯图尔特,特雷弗·琼斯,奥斯汀·普里斯特,克莱·方特诺特,保罗·艾力卡,丹尼尔·哈格里夫,李镇男,庄小龙,陈云志,肯尼迪;动作,战争;7.1;841108;296116
猫鼠游戏 Catch Me If You Can;史蒂文·斯皮尔伯格;莱昂纳多·迪卡普里奥,汤姆·汉克斯,克里斯托弗·沃肯,马丁·辛,艾米·亚当斯,詹妮弗·加纳,伊丽莎白·班克斯,纳塔莉·贝伊,詹姆斯·布洛林,艾伦·旁派,南希·利内翰,布莱恩·豪威 ,弗兰克·约翰·休斯,克里斯·埃里斯;剧情,传记,犯罪;9.1;864223;158633
八佰;管虎;王千源,张译,姜武,黄志忠,张俊一,欧豪,杜淳,魏晨,张宥浩,唐艺昕,李九霄,李晨,梁静,侯勇,辛柏青,俞灏明,刘晓庆,姚晨,郑恺,余皑磊,黄晓明,徐嘉雯,张承,马精武,胡晓光,陆思宇,白恩,曹璐,刘云龙,杨嘉华,中泉英雄,高爽,郑伟,高冬平,黄米依,曹卫宇,宋洋,徐乐同,徐幸;剧情,历史,战争;7.5;751916;245660
看不见的客人 Contratiempo;奥里奥尔·保罗;马里奥·卡萨斯,阿娜·瓦格纳,何塞·科罗纳多,巴巴拉·莱涅,弗兰塞斯克·奥雷利亚,帕科·图斯,大卫·塞尔瓦斯,伊尼戈·加斯特西,圣·耶拉莫斯,马内尔·杜维索,布兰卡·马丁内斯,佩雷·布拉索,霍尔迪·布鲁内特,鲍比·冈萨雷斯,玛蒂娜·乌尔塔多;剧情,悬疑,惊悚,犯罪;8.8;1116225;270793
白蛇2：青蛇劫起;黄家康;唐小喜,歪歪,魏超,赵铭洲,郑小璞,马程,宋旭晨,邱秋,张凯,徐佳琦,关帅,张碧玉,张喆,杨天翔,宝木中阳,林强;动画,奇幻,冒险;6.8;336777;153097
复仇者联盟4：终局之战 Avengers: Endgame;安东尼·罗素,乔·罗素;小罗伯特·唐尼,克里斯·埃文斯,马克·鲁弗洛,克里斯·海姆斯沃斯,乔什·布洛林,保罗·路德,凯伦·吉兰,杰瑞米·雷纳,斯嘉丽·约翰逊,唐·钱德尔,布丽·拉尔森,布莱德利·库珀,泰莎·汤普森,汤姆·赫兰德,伊丽莎白·奥尔森,本尼迪克特·康伯巴奇,蒂尔达·斯文顿,格温妮斯·帕特洛,蕾妮·罗素,约翰·斯拉特里,查德维克·博斯曼,安东尼·麦凯,塞巴斯蒂安·斯坦,克里斯·帕拉特,汤姆·希德勒斯顿,佐伊·索尔达娜,丹娜·奎里拉,本尼迪克特·王,庞·克莱门捷夫,戴夫·巴蒂斯塔,利蒂希娅·赖特,伊万杰琳·莉莉,乔恩·费儒,海莉·阿特维尔,娜塔莉·波特曼,玛丽莎·托梅,塔伊加·维迪提,安吉拉·贝塞特,迈克尔·道格拉斯,米歇尔·菲佛,威廉·赫特,寇碧·史莫德斯,肖恩·古恩,温斯顿·杜克,琳达·卡德里尼,马克斯米利亚诺·赫尔南德斯,弗兰克·格里罗,真田广之,汤姆-沃恩-劳勒,詹姆斯·达西,雅各布·巴特朗,范·迪塞尔,罗伯特·雷德福,塞缪尔·杰克逊,伊薇特·尼科尔·布朗,卡梅伦·布鲁姆布罗,蒂莫西·卡尔,凯瑞·康顿,迈克尔·A·库克,凯莉·库恩,艾玛·福尔曼,雷纳·加拉赫,丹妮拉·加斯基,郑肯,小弗洛伊德·安东尼·约翰,斯坦·李,罗斯·马昆德,布伦特·麦吉,迈克尔·皮耶里诺·米勒,卡兰·马尔韦,泰瑞·诺塔里,吉米·雷·皮肯斯,迈克尔·詹姆斯·肖,泰·辛普金斯,格雷格·蒂芬;剧情,动作,科幻,奇幻,冒险;8.5;995069;309366
哈利·波特与死亡圣器(下) Harry Potter and the Deathly Hallows: Part 2;大卫·叶茨;丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,海伦娜·伯翰·卡特,拉尔夫·费因斯,艾伦·瑞克曼,玛吉·史密斯,汤姆·费尔顿,邦妮·怀特,朱丽·沃特斯,迈克尔·刚本,伊文娜·林奇,多姆纳尔·格里森,克蕾曼丝·波西,詹森·艾萨克,海伦·麦克洛瑞,马修·刘易斯,梁佩诗,约翰·赫特,大卫·休里斯,加里·奥德曼,吉姆·布劳德本特,艾玛·汤普森,娜塔丽·特纳,蒂莫西·斯波,大卫·布拉德利,罗彼·考特拉尼,凯莉·麦克唐纳,塞伦·希德;奇幻,冒险;8.9;727383;132566
美丽人生 La vita è bella;罗伯托·贝尼尼;罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克,玛丽萨·帕雷德斯,霍斯特·布赫霍尔茨,利迪娅·阿方西,朱利亚娜·洛约迪切,亚美利哥·丰塔尼,彼得·德·席尔瓦,弗朗西斯·古佐,拉法埃拉·莱博罗尼,克劳迪奥·阿方西,吉尔·巴罗尼,马西莫·比安奇,恩尼奥·孔萨尔维,吉安卡尔洛·科森蒂诺,阿伦·克雷格,汉尼斯·赫尔曼,弗兰科·梅斯科利尼,安东尼奥·普雷斯特,吉娜·诺维勒,理查德·塞梅尔,安德烈提多娜,迪尔克·范登贝格,奥梅罗·安东努蒂;剧情,喜剧,爱情,战争;9.6;1194547;263869
神偷奶爸 Despicable Me;皮埃尔·柯芬,克里斯·雷纳德;史蒂夫·卡瑞尔,杰森·席格尔,拉塞尔·布兰德,朱莉·安德鲁斯,威尔·阿奈特,克里斯汀·韦格,米兰达·卡斯格拉夫,达纳·盖尔,艾尔西·费舍尔,皮埃尔·柯芬,克里斯·雷纳德,杰梅奈·克莱门特,杰克·麦克布瑞尔,丹尼·麦克布莱德,敏迪·卡灵,罗布·许贝尔,肯·道里欧,郑肯;喜剧,动画,冒险;8.6;861000;128908
我和我的家乡;宁浩,徐峥,陈思诚,闫非,彭大魔,邓超,俞白眉;葛优,黄渤,范伟,邓超,沈腾,张占义,王宝强,徐峥,闫妮,马丽,刘敏涛,刘昊然,卢靖姗,王子文,魏翔,章宇,王砚辉,张译,王源,张一鸣,杨新鸣,王迅,于和伟,苗阜,辣目洋子,张子贤,董子健,陶虹,吴京,韩彦博,吕行,佟丽娅,李晨,孙俪,赵铁人,郝云,彭昱畅,杨紫,岳云鹏,赵海燕,岳小军,王俊凯,贾玲,潘斌龙,高睿菲儿,陈数,代乐乐,黄才伦,雷佳音,梁超,孙贵权,韩昊霖,岳红,陶亮,李易峰,许猛,郭帆,卫莱,栗坤,薇娅,李佳琦,白泽泽;剧情,喜剧;7.0;592904;201434
机器人总动员 WALL·E;安德鲁·斯坦顿;本·贝尔特,艾丽莎·奈特,杰夫·格尔林,佛莱德·威拉特,西格妮·韦弗,MacInTalk,约翰·拉岑贝格,凯茜·纳基麦,泰迪·牛顿,鲍伯·伯根,洛丽·理查德森,吉姆·瓦德,彼特·道格特,安德鲁·斯坦顿,杰夫·皮金,约翰·齐甘,米凯·麦高万,雪莉·琳恩,克莱特·惠特克,唐纳德·富利洛夫,罗里·艾伦,杰斯·哈梅尔,拉瑞恩·纽曼,扬·拉布森,保罗·伊丁;科幻,动画,冒险;9.3;1194821;216985
哈尔的移动城堡 ハウルの動く城;宫崎骏;倍赏千惠子,木村拓哉,美轮明宏,我修院达也,神木隆之介,伊崎充则,大泉洋,大塚明夫,原田大二郎,加藤治子,都筑香弥子;动画,奇幻,冒险;9.1;902363;161190
小丑 Joker;托德·菲利普斯;华金·菲尼克斯,罗伯特·德尼罗,马克·马龙,莎姬·贝兹,谢伊·惠格姆,弗兰西丝·康罗伊,布莱恩·考伦,布莱恩·泰里·亨利,布莱特·卡伦,道格拉斯·霍奇斯,格伦·弗莱舍尔,比尔·坎普,乔什·帕斯,但丁·佩雷拉-奥尔森,玛丽·凯特·马拉特,迈克尔·本茨,莎珑·华盛顿,桑德拉·詹姆斯,托尼·赫德,曼德拉·贝拉米,乔·奥克曼,卡尔·伦德施泰特,米克·奥罗克,大卫·吉布森,伊万·罗萨多,安妮·比萨比亚,布莱斯·科里根,乔恩·道格拉斯·雷尼,艾恩斯利·丹恩,杰森·约翰·奇卡莱塞;剧情,惊悚,犯罪;8.7;900626;251069
调音师 Andhadhun;斯里兰姆·拉格万;阿尤斯曼·库拉纳,塔布,拉迪卡·艾普特,安尔·德霍万,马纳夫·维吉,阿什维尼·卡尔塞卡,查亚·卡达姆,萨基尔·侯赛因,拉什米·阿格德卡,莫希尼·凯瓦拉曼;喜剧,悬疑,惊悚,犯罪;8.2;856705;230803
不速来客;刘翔;范伟,窦骁,张颂文,朱珠,梁超,胡明,高尚,蔡鹭;喜剧,悬疑;6.6;77469;26912
哈利·波特与凤凰社 Harry Potter and the Order of the Phoenix;大卫·叶茨;丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,加里·奥德曼,拉尔夫·费因斯,玛吉·史密斯,迈克尔·刚本,艾伦·瑞克曼,艾玛·汤普森,艾美达·斯丹顿,詹森·艾萨克,汤姆·费尔顿,海伦娜·伯翰·卡特,邦妮·怀特,朱丽·沃特斯,梁佩诗,布莱丹·格里森,罗彼·考特拉尼,伊文娜·林奇;奇幻,冒险;8.4;482669;52357
启航：当风起时;刘畅,马一鸣;吴磊,侯明昊,毛晓慧,向涵之,王新军,高海鹏,张晓谦,方文强,邹元清,何澳,金世佳,张鹤伦,高文峰,温峥嵘,淳于珊珊,宝马;剧情;7.6;26300;10295
辛德勒的名单 Schindler's List;史蒂文·斯皮尔伯格;连姆·尼森,本·金斯利,拉尔夫·费因斯,卡罗琳·古多尔,乔纳森·萨加尔,艾伯丝·戴维兹,马尔戈萨·格贝尔,马克·伊瓦涅,碧翠斯·马科拉,安德烈·瑟韦林,弗里德里希·冯·图恩,克齐斯茨托夫·拉夫特,诺伯特·魏塞尔,维斯瓦夫·科马萨;剧情,历史,战争;9.6;996165;166182
喜剧之王 喜劇之王;周星驰,李力持;周星驰,张柏芝,莫文蔚,吴孟达,林子善,田启文,李兆基,成龙,李思捷,郑文辉;剧情,喜剧,爱情;8.8;864554;130983
哈利·波特与混血王子 Harry Potter and the Half-Blood Prince;大卫·叶茨;丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,迈克尔·刚本,大卫·勒格诺,埃拉丽卡·加拉切,吉姆·布劳德本特,杰拉丁·萨莫维尔,邦妮·怀特,朱丽·沃特斯,海伦娜·伯翰·卡特,海伦·麦克洛瑞,蒂莫西·斯波,艾伦·瑞克曼,奥利弗·菲尔普斯,詹姆斯·菲尔普斯,弗雷迪·史卓玛,杰西·卡芙,汤姆·费尔顿,阿尔弗雷德·伊诺奇,伊文娜·林奇,罗伯特·克诺斯,Louis Cordice,斯嘉丽·伯恩,杰米·威莱特,乔什·赫德曼,罗彼·考特拉尼,沃维克·戴维斯,大卫·布拉德利,马修·刘易斯,威廉姆·麦灵,安娜·谢弗,戴文·穆雷,乔治娜·雷尼达斯,玛吉·史密斯,伊莎贝拉·拉夫兰德,艾芙珊·阿扎德,谢发丽·裘德胡里,赫洛·费因斯-提芬,保罗·里特,大卫·休里斯,娜塔丽·特纳,马克·威廉姆斯,弗兰克·迪兰,杰玛·琼斯,拉尔夫·伊内森,梁佩诗,亚瑟·博文,Paul Davies,艾略特·弗朗西斯,鲁斯迪·戈夫,詹森·艾萨克,奥利维亚·杰森,特蕾莎·马奥尼,弗莱迪·罗斯,本·谢博德,卡伦姆·西维耶,艾美达·斯丹顿;奇幻,冒险;8.2;461869;58646
大话西游之大圣娶亲 西遊記大結局之仙履奇緣;刘镇伟;周星驰,吴孟达,朱茵,蔡少芬,蓝洁瑛,莫文蔚,罗家英,刘镇伟,陆树铭,李健仁;喜剧,爱情,奇幻,古装;9.2;1385348;236179
驴得水;周申,刘露;任素汐,大力,刘帅良,裴魁山,阿如那,韩彦博,卜冠今,王堃,高阳,苏千越,麦亚瑟,王峰;剧情,喜剧;8.3;836255;215358
无名之辈;饶晓志;陈建斌,任素汐,潘斌龙,章宇,王砚辉,九孔,马吟吟,程怡,宁桓宇,邓恩熙,谢波,范翔,赵梓冲,史策,马睿瀚,林海,邓钢;剧情,喜剧;8.0;950647;268285
哈利·波特与死亡圣器(上) Harry Potter and the Deathly Hallows: Part 1;大卫·叶茨;丹尼尔·雷德克里夫,艾玛·沃森,鲁伯特·格林特,海伦娜·伯翰·卡特,拉尔夫·费因斯,比尔·奈伊,约翰·赫特,艾伦·瑞克曼,艾美达·斯丹顿,费奥纳·肖,邦妮·怀特,朱丽·沃特斯,米歇尔·费尔利,杰米·坎贝尔·鲍尔;奇幻,冒险;8.4;484674;71963
末代皇帝 The Last Emperor;贝纳尔多·贝托鲁奇;尊龙,陈冲,邬君梅,彼得·奥图尔,英若诚,吴涛,黄自强,丹尼斯·邓,坂本龙一,马吉·汉,里克·扬,田川洋行,苟杰德,理查德·吴,皱缇格,陈凯歌,卢燕,区亨利,陈述,鲍皓昕,黄文捷,邵茹贞,亨利·基,张良斌,梁冬,康斯坦丁·格雷戈里,黄汉琪,王涛,宋怀桂,蔡鸿翔,程淑艳,张天民;剧情,传记,历史;9.3;762876;160366
弥留之国的爱丽丝 第一季 今際の国のアリス;佐藤信介;山崎贤人,土屋太凤,村上虹郎,森永悠希,三吉彩花,町田启太,樱田通,朝比奈彩,柳俊太郎,渡边佑太朗,水崎绫女,吉田美月喜,阿部力,金子统昭,青柳翔,仲里依纱;动作,科幻,悬疑,惊悚,奇幻;8.0;153809;50931
一出好戏;黄渤;黄渤,舒淇,王宝强,张艺兴,于和伟,王迅,李勤勤,李又麟,宁浩,管虎,梁静,徐峥,陈德森,张磊;剧情,喜剧;7.1;842870;240725
中国机长;刘伟强;张涵予,欧豪,杜江,袁泉,张天爱,李沁,雅玫,杨祺如,高戈,黄志忠,朱亚文,李现,焦俊艳,吴樾,阚清子,李岷城,冯文娟,陈数,杨颖,余皑磊,关晓彤,小爱,伊拉尔·帕萨,亚历克斯·皮希汀,赵亮,周波;剧情,传记,灾难;6.6;686306;234944
悬崖之上;张艺谋;张译,于和伟,秦海璐,朱亚文,刘浩存,倪大红,李乃文,余皑磊,飞凡,雷佳音,沙溢,韩昊霖,赵毅;剧情,动作,悬疑;7.6;660849;231044
西西里的美丽传说 Malèna;朱塞佩·托纳多雷;莫妮卡·贝鲁奇,朱塞佩·苏尔法罗,Luciano Federico,玛蒂尔德·皮亚纳,Pietro Notarianni,Gaetano Aronica,Gilberto Idonea,Angelo Pellegrino,Gabriella Di Luzio,Pippo Provvidenti,埃丽萨·莫鲁奇,奥罗拉·夸特罗基,露琪亚·萨多,瓦尼·布拉马蒂,Salvatore Martino,安东内洛·普利西,Noam Morgensztern;剧情,情色,战争;8.9;877600;168072
送你一朵小红花;韩延;易烊千玺,刘浩存,朱媛媛,高亚麟,夏雨,岳云鹏,陈祉希,李晓川,孔琳,吴晓亮,张绍刚,孙强,安笑歌,李增辉,姚未平,张浩天,柴陆;剧情;7.2;688374;267208
狮子王 The Lion King;罗杰·阿勒斯,罗伯·明可夫;乔纳森·泰勒·托马斯,马修·布罗德里克,杰瑞米·艾恩斯,詹姆斯·厄尔·琼斯,莫伊拉·凯利,内森·连恩,尼基塔·卡兰姆,埃林·萨贝拉,乌比·戈德堡,罗温·艾金森;动画,歌舞,冒险;9.1;747464;95315
白蛇：缘起;黄家康,赵霁;张喆,杨天翔,唐小喜,刘紫玲,张遥函,郑小璞,张博恒,张赫,马程,程寅,陈霖生,惠龙,林强,章斌;爱情,动画,奇幻;7.8;693286;231226
毒液：致命守护者 Venom;鲁本·弗雷斯彻;汤姆·哈迪,米歇尔·威廉姆斯,里兹·阿迈德,斯科特·黑兹,瑞德·斯科特,珍妮·斯蕾特,梅洛拉·沃尔特斯,伍迪·哈里森,佩吉·陆,马尔科姆·C·默里,索佩·阿卢科,韦恩·佩雷,米歇尔·李,库尔特·岳,克里斯·奥哈拉,埃米里奥·瑞弗拉,阿里亚当娜·约瑟夫,袁之正,朴云龙,麦克·勃兰特,尼克·图恩,山姆麦地那,迪塞尔·马德金斯,简·麦克尼尔,维克托·麦凯,马丁·巴特斯·布拉德福德,布兰顿·莫拉莱斯,马修·康威尔,斯坦·李,韦德·威廉姆斯,约瑟夫·阿梅,威廉·W·巴伯,玛塞拉·布拉吉奥,卡特·伯奇,克里斯蒂安·康佛瑞,詹姆斯·富尔特斯,丹妮拉·加斯基,约翰·盖蒂尔,艾米丽塔·T·冈萨雷斯,杰克·汉森,安东尼·B·哈里斯,卡茜·亨德利,罗恩·彼得·琼斯,霍梅洛·洛佩兹,万恩·姆约维奇;动作,科幻,惊悚;7.2;773338;208235
熔炉 도가니;黄东赫;孔刘,郑有美,金贤秀,郑仁絮,白承焕,张光,金民尚,林贤成,金周灵,严孝燮,全国焕,崔镇浩,金志映,严智星,许在浩,张素妍;剧情;9.3;842800;200379
寄生虫 기생충;奉俊昊;宋康昊,李善均,赵汝贞,崔宇植,朴素丹,李姃垠,张慧珍,郑知晓,朴明勋,朴叙俊,朴根禄,郑贤俊,朴孝新,安德烈亚斯·弗龙克;剧情,喜剧;8.8;1231477;331691
嘉南传;智磊,符策欣;鞠婧祎,曾舜晞,汪卓成,王奕婷,李奕臻,李昀锐,曹翠芬,翁虹,黄海冰;剧情,爱情,古装;3.7;53747;29498
教父 The Godfather;弗朗西斯·福特·科波拉;马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩,理查德·卡斯特尔诺,罗伯特·杜瓦尔,斯特林·海登,约翰·马利,理查德·康特,艾尔·勒提埃里,黛安·基顿,阿贝·维高达,塔莉娅·夏尔,吉亚尼·罗素,约翰·凯泽尔,鲁迪·邦德,兰尼·蒙大拿;剧情,犯罪;9.3;855283;146674
蝙蝠侠：黑暗骑士 The Dark Knight;克里斯托弗·诺兰;克里斯蒂安·贝尔,希斯·莱杰,艾伦·艾克哈特,迈克尔·凯恩,玛吉·吉伦哈尔,加里·奥德曼,摩根·弗里曼,莫尼克·加布里埃拉·库尔内,罗恩·迪恩,基里安·墨菲,黄经汉,内斯特·卡博内尔,埃里克·罗伯茨,里特奇·科斯特,安东尼·迈克尔·豪尔,基斯·斯扎拉巴基克,柯林·麦克法兰,约书亚·哈尔托,美琳达·麦格劳,内森·甘宝,迈克尔·维约,迈克尔·斯托扬诺夫,威廉·斯米利,丹尼·高德林,迈克尔·加·怀特,马修·奥尼尔,威廉·菲克纳,欧鲁米基·欧拉乌米,格雷格·比姆,爱利克·赫尔曼,毕崔斯·罗森,文森佐·尼克力,陈冠希;剧情,动作,科幻,惊悚,犯罪;9.2;947293;165505
加勒比海盗 Pirates of the Caribbean: The Curse of the Black Pearl;戈尔·维宾斯基;约翰尼·德普,杰弗里·拉什,奥兰多·布鲁姆,凯拉·奈特莉,杰克·达文波特,乔纳森·普雷斯;动作,奇幻,冒险;8.8;773524;85473
